2018-11-17 22:38:21.331 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.NotifyServiceApplicationTests], using SpringBootContextLoader
2018-11-17 22:38:21.343 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.demo.NotifyServiceApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-11-17 22:38:21.345 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.NotifyServiceApplicationTests]: NotifyServiceApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-11-17 22:38:21.567 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.NotifyServiceApplication for test class com.example.demo.NotifyServiceApplicationTests
2018-11-17 22:38:21.752 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-11-17 22:38:21.775 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7a419da4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@14555e0a, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4bb33f74, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@759d26fb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3c73951, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3d5c822d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6f46426d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@73700b80, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@49c7b90e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@10d307f1]
2018-11-17 22:38:22.332 [main] INFO  com.example.demo.NotifyServiceApplicationTests - Starting NotifyServiceApplicationTests on DESKTOP-HSISSQM with PID 25408 (started by jack in C:\Users\jack\Documents\workspace-sts-3.9.5.RELEASE\notify-service)
2018-11-17 22:38:22.333 [main] INFO  com.example.demo.NotifyServiceApplicationTests - No active profile set, falling back to default profiles: default
2018-11-17 22:38:25.805 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2018-11-17 22:38:26.651 [main] INFO  com.example.demo.NotifyServiceApplicationTests - Started NotifyServiceApplicationTests in 4.794 seconds (JVM running for 6.574)
2018-11-17 22:38:27.196 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
